Municipality,Year,Budget,Adjusted Budget,Q1 – Sep,Q2 – Dec,Q3 – Mar,Q4 – Jun
NC092,2012,0,0,891,16320,425,34186
FS163,2013,52500,52500,37650,11836,8930,8200
EC101,2014,211623,211623,16854,17675,28495,N/A
NC094,2014,80287,80287,34220,21650,40400,N/A
EC128,2012,0,0,10765,8280,6214,13176
LIM334,2013,950000,1900000,0,51363,430980,108350
KZN273,2014,3600000,1850000,33963,11990,500639,N/A
EC135,2012,0,0,230138,49045,199584,108585
KZN291,2013,55000,55000,11811,46562,26380,6850
FS193,2014,1500000,1500000,16574,20200,36050,N/A
NW396,2014,3816830,3816830,23278,17670,33570,N/A
TSH,2013,3281060,3422910,897725,955514,1323465,754719
EC131,2012,0,0,15459,21252,15165,9623
KZN271,2014,300000,150000,24550,50600,42056,N/A
LIM332,2014,316800,317000,36525,68345,30075,N/A
MP302,2013,498195,513700,116442,47949,45481,186448
KZN254,2013,228980,229000,71330,32650,122100,83266
LIM335,2013,139445,139445,28934,30100,68515,102439
TSH,2012,2201642,3170642,1536401,925535,981774,1097017
TSH,2014,79184600,79214600,1419864,924018,774975,N/A
NC067,2012,40000,20000,3525,3930,5850,3850
FS161,2012,79100,76727,14480,12130,14240,28550
LIM343,2014,3153000,3153000,69630,193280,136130,N/A
MP316,2013,400000,300000,72370,77840,48205,70500
KZN262,2013,25787,354448,123350,39624,107680,58843
FS191,2013,225000,225000,97806,34913,139351,148463
LIM471,2013,231080,231080,25400,38264,50220,47937
KZN274,2014,2914266,80000,29190,21775,16500,N/A
KZN227,2014,252500,52500,568,19146,3909,N/A
EC144,2014,104524,18630,10786,9771,2732,N/A
KZN434,2013,938030,101000,47341,29189,35153,33729
NC094,2013,147083,76028,22300,17700,18086,15950
KZN214,2012,231017,8517,14137,26901,23124,16224
MP301,2013,326101,326101,14480,51500,190980,23600
EC134,2014,347270,347270,35286,52690,24668,N/A
EC135,2013,600000,600000,127453,39450,102190,111087
NC077,2012,597000,597000,21050,5850,2800,3950
NC078,2013,0,0,10750,10000,18590,117278
LIM475,2013,0,0,148407,89194,80637,68238
MP315,2014,0,120000,91722,82225,173530,N/A
EC141,2014,54000,26928,17784,36491,11518,N/A
EC441,2014,450000,451000,90328,53687,115328,N/A
EC128,2014,50000,50000,7400,6350,6050,N/A
FS195,2014,210000,210000,20100,12492,12791,N/A
NW392,2012,446440,167394,27717,17221,104587,108527
MP323,2012,0,0,19792,17275,12235,3502
KZN271,2013,168000,152400,25450,40250,21200,23640
LIM332,2013,750000,750000,67175,53785,35920,52545
KZN265,2012,0,76920,45223,47959,24195,11531
FS192,2013,0,0,7150,31487,2499721,1566678
KZN431,2014,200000,200000,28640,23810,99810,N/A
NW404,2012,7586600,7586600,4291,18110,303687,4993
NC061,2012,10118,7118,1730,2785,5260,2985
LIM351,2013,510000,510000,161290,37786,153131,134845
NW396,2012,10000,2501000,21350,12349,2600,26850
KZN291,2012,852724,852724,1605,31505,18306,14787
MP324,2014,550000,550000,89680,89179,96350,N/A
KZN235,2014,322080,322080,52027,29814,33700,N/A
MP324,2013,1650000,1650000,99629,88036,62391,106970
KZN275,2013,100000,257000,115715,39276,101164,84510
MP316,2014,250000,250000,52955,55680,30540,N/A
LIM355,2013,1000000,1000000,134804,51256,0,-126725
EC124,2013,529950,529950,43864,27293,24943,21490
KZN272,2013,125000,344082,84021,41293,68684,79538
KZN434,2014,251000,131000,32203,22505,18708,N/A
EC143,2014,198430,222800,686,9682,205449,N/A
KZN224,2014,5000,25000,5100,7300,7650,N/A
MP301,2014,345667,252660,86580,39750,1850,N/A
