Municipality,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
LIM351,0.586967884,0.6965793309,0.4699469344,1.10994964,0.9917665361,0.2323447848,0.9415971321,0.8291571614,0.9932976283,0.748113805,0.7161145921
LIM352,0.3166646336,0.7435805556,1.3572702876,1.9795828124,0,0,0,0,0,0,0
LIM353,0.4865169265,0.6326289454,0.7757036955,1.1959823118,0.0937029754,0.117244117,0.0918566114,0.2174093666,-0.0286186427,0.0724697889,0.3738887196
LIM354,2.2001561211,1.4741947126,1.6013570769,0.9381095995,0.698109218,0.9788791397,1.5022154248,0.9958251126,1.0159094053,1.5154125841,0.4451263039
LIM355,0.6533535924,1.2004297808,0.418519644,0.5085131322,0.5852138051,0.2225135663,0,-0.5501410896,0.953939657,1.0405686998,0.9782504884
LIM361,1.4548536969,3.3440059131,1.8173733487,0,1.7695637891,0,0,0,0.5708872046,0.4000985522,-0.8007719924
LIM362,0.5953078166,0.087442881,0.048355749,0.0052346524,0.1094353313,0.1071894409,0.0164727427,0,0.1357122496,0,0
LIM364,1.7537037037,0,0.4302749719,1.0304433221,0.172362514,0.4042648709,0.1797699214,0.3628507295,0.3980639731,0.4382154882,0.0882996633
LIM365,0.0073854597,1.0418022857,0.0014011939,0.0038532833,0.0047144338,0.0051523069,0.0028315794,0.0208719513,0,0,0
LIM366,4.5993082707,2.7475037594,1.8937593985,8.548962406,8.4530827068,0.6111278195,0.5276390977,50.3704962406,22.854406015,7.3666616541,5.7445714286
LIM367,0.8317873649,0.7469952743,1.3415604423,1.2481068116,0.2040385853,0.7132818949,1.3484896744,0.8954179965,0.6084951346,5.4123023121,7.7500016251
LIM471,0.2450504658,0.6119953416,0.5279503106,0.0339673913,0.2054218427,0.3094591097,0.4061529503,0.3876892469,0.3192934783,0.202186853,0.3491362578
LIM472,1.1987744774,1.0183948701,1.4369814287,0.5656572948,0.7211775604,0.7231225162,0.5305518461,0.9754654861,0.6724333602,0.4039893649,0.2540473126
LIM473,0,0,0,0,0,0,0,0.0285721575,0.0459253967,0.0207028773,0.0109346183
LIM474,0.5821205821,0.6717095794,0.3922810384,0.3240151394,0.2767098459,0.0740977664,0.7476304707,1.5327895943,1.6965083427,1.281934005,1.083117437
LIM475,0.3552532799,0.7730668859,0.2460706157,0,0.442113824,0.2657145581,0.2402227148,0.2032853108,0.2151568775,0.1321214504,0.1390298979
MAN,0.4720462491,0.5018162212,1.1094883675,1.7765358943,1.5291030209,0.9730463414,0.6957190697,1.6827787448,1.4633257117,4.0015064936,3.0019841296
MP301,0.0046234073,0.1252620827,0.1529487662,0.1919251653,0.0778452771,0.2768668351,1.0267189936,0.1268748992,0.4654588463,0.2136981883,0.0099457018
MP302,0.6935471994,0.8415351761,0.3842961098,0.9841207147,0.7795175964,0.3209931917,0.3044712372,1.2481707358,0.3205647456,0.4964084163,0.3160928389
MP303,1.3662069286,1.3734867602,0.9170436441,0.863520601,2.218691491,1.4237013176,1.2862915887,0.9193520252,1.0644718633,0.4879115256,0.6681571327
MP304,0.0002402835,1.7191926473,0.351054244,0,0.6892653331,0.8851444705,1.1786988647,1.1647143629,0.7429807172,0.5465248994,0.7770168799
MP305,1.9979076966,2.8347080286,3.3430426588,11.0142916429,0.6628192492,0.1541301378,0.2747747748,0.5667721464,0.220703429,0.9616814511,1.0264391071
MP306,4.5299598962,0.3578202406,1.0759613116,0.7268223638,0.7114885586,3.2882047653,3.9458834631,1.2222222222,1.8048124558,1.8962727058,1.2808917197
MP307,5.0825190638,7.4399805798,9.6638837773,7.7995606679,6.8345001324,5.4252218729,7.3986752134,4.7056271177,5.174822943,9.0899815983,2.5596493492
MP311,1.072827758,0.5594417643,1.2070720458,1.6330249695,1.1444096909,0.640977045,1.1554365689,0.5655118486,0.6638260086,0.077877326,0.6620235381
MP312,1.7700383851,1.1470012593,0.9971780128,0.5989136866,0.3645774858,0.5711692029,1.2050113031,0.9949047453,2.8027213465,2.3182169896,2.1010883363
MP313,6.5695402274,7.0580295957,3.3588288786,7.5079036335,5.4977657496,5.4279579343,6.1430833961,6.9632425565,8.8885441912,7.5432469945,6.9426230578
MP314,2.1181590986,2.9068536089,1.3520840393,2.2150330396,2.2913207387,13.3918375127,2.9909352762,81.0081751948,1.3539054558,1.1191757032,1.1700059302
MP315,0.0170361208,0.0388361711,0.0268957476,0.0334795689,0.0441186892,1.4887295544,0.523742342,0.1200613287,0.2954409292,0.26485064,0.5589483924
MP316,0.3256843075,0.1735327687,0.3015958831,0.4353537174,0.2898219899,0.3117278388,0.1930477964,0.2823331531,0.2120702429,0.2229831201,0.1223043191
MP321,0.5234634657,1.3188327726,1.6961285536,62.06253875,2.7950237328,2.1639850793,3.6828950979,1.4952686839,5.013904276,2.4345187881,3.0249626475
MP322,0.9251062341,0.9056291334,0.8174471887,2.4722483585,0.9513938661,1.7643182505,1.411048686,2.2387982894,1.1996317897,1.6649048734,0.7623549153
MP323,0.2947167788,0.2572368813,0.182187742,0.0521472393,0.5642980523,0.7074870451,0.4841562928,1.8117517422,0.5771934004,0.0155607838,0.8682023944
MP324,0.3593975015,0.1886649874,0.4107320052,0.3988245172,0.2534895555,0.2239930794,0.1587436074,0.272167519,0.2281759662,0.2269012544,0.2451466809
MP325,0.2974606835,0.3569768387,2.6113777788,0.0704593828,0.1580144407,0,0.0020785296,3.1213953677,0,0.7768342793,0.0039723011
NC061,0.1443832415,0.2324319813,0.4389918211,0.2491236855,0.086796862,0.8070438992,0.3826573193,0.9046903689,0.1836087465,0.0342179937,0.1992154899
NC062,1.7542356668,0.7505155077,0.6711804596,0.2237409919,0.0917710083,0.6258582938,0.9556557046,1.135031143,1.0415594907,1.0390722986,1.8643948896
NC064,0,-0.0182585648,0.0253263964,0,0.0081476391,0.0034357514,0.0232649455,0.0194365368,0.0198291941,0.0268970256,0.0053008737
NC065,0.9172768561,0.5155250718,0.9522661971,0.9594030957,1.1138659746,0.5914357216,0.7988692186,1.0057002503,0.675224766,0.407498378,1.3611085365
NC066,0.0443279314,0.1175722911,0.0586272641,0.0806323483,0.1340959644,0.0302669209,0.0388465205,0.1320305052,0.1418811567,0.1468064824,0.1060533842
NC067,0.2827918171,0.3152827918,0.4693140794,0.3088648215,0.2727637385,0.5134376254,0.1845166466,0.2045728039,0.1564380265,0.0882470919,0
NC071,64.6932960594,118.385839471,118.3861620343,58.8742540724,74.6394279877,277.6056126015,146.6592656309,100.9701628945,150.5392720821,139.1999354873,124.2111714424
NC072,0.0290738652,-0.0545179025,31.783972371,157.2942979983,32.6746193967,4.8156540739,9.2963067381,2.2329080913,0.9975331266,0.7667747392,10.4924231745
NC073,21.5077202758,26.2340400416,55.0382472377,46.1514779488,15.4722117292,32.2775993956,64.9306355652,5.4379072623,14.895906129,6.9956794787,26.0920058551
NC074,0.2474942174,0.3975841686,0.7779491133,0.2170821554,0.0645078386,0.1775893087,0.3074616637,0.3789085925,0.1841857277,0.1105971044,0.088923156
