Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
EC133,Inkwanca,0.001608,0.001204,0.006356,0.001464,0.000791,0.004508,0.004375,0.001856,0.001178,0.000801,0.000368,0.001511,21971,0.6326521324,0.5228255428,0.2679896227,0.1931637158,0.5881389104,1.2778207637,1.1020436029,0.4615174548,0.5530471986,0.6469892131,0.159164353
EC135,Intsika Yethu,0.006196,0.017454,0.005477,0.067257,0.002643,0.000853,0.00347,0.005663,0.001456,0.001289,0.001322,0.002938,145372,1.5830971576,0.3373758358,1.3729191316,0.7469457667,0.8767369232,0.271372754,0.7029551771,0.764156784,0.8498128938,0.5009217731,0.5506975208
EC131,Inxuba Yethemba,0.000194,0.009107,0.000969,0.00039,0.000292,0.001075,0.000674,0.000497,0.000659,0.000254,0.003056,0.00242,65560,0.2357992678,0.3241610738,0.2313148261,0.1467815741,0.4081604637,0.677104942,0.4829621721,0.1426021965,0.9908938377,0.1638956681,63.6451647346
NC451,Joe Morolong,0,0,0,0,0,0,0,0,0,0,0.000001,0,89530,0,0,0,0,0,0,0,0,0,0,0.000558472
JHB,Johannesburg,0.010657,0.013348,0.014326,0.017498,0.010959,0.013228,0.003919,0.010704,0.006774,0.005465,0.003887,0.010013,4434827,18.8138355792,22.2678187898,22.3696705644,34.6007309868,22.1460724398,22.9817307417,6.7606709349,19.9662591122,13.4181344616,11.1138777229,6.8775020987
KZN272,Jozini,0.000296,0.001009,0.001315,0.03209,0.002138,0.00154,0.002933,0.007851,0.002027,0.002164,0.00307,0.002436,186502,0.0465142465,0.0944493893,0.1566953706,0.5439459094,0.4505099141,0.2214078133,0.368274871,0.4264726384,0.4302527587,0.5426215268,0.4405421926
NW397,Kagisano-Molopo,0,0,0,0,0,0,0,0,0,0,0,0,105789,0,0,0,0,0,0,0,0,0,0,0
NC082,Kai !Garib,0.002075,0.002287,0.001907,0.000723,0.000477,0.001578,0.001328,0.000704,0.000291,0.000153,0.001782,0.001088,65869,1.2974692192,1.1384718153,0.9788975087,0.3723754725,0.3826686302,0.9707297818,0.6539495058,0.2455328,0.2870394267,0.1222274515,0.7553629173
NC064,Kamiesberg,0,-0.000053,0.000035,0,0.000006,0.000007,0.000033,0.0001,0.00001,0.000053,0.000016,0.000015,10187,0,-0.0182585648,0.0253263964,0,0.0081476391,0.0034357514,0.0232649455,0.0194365368,0.0198291941,0.0268970256,0.0053008737
WC041,Kannaland,0.003128,0.012481,0.01492,0.026838,0.008774,0.01741,0.028755,0.007757,0.000553,0.001856,0.004973,0.010121,24767,2.547058586,6.1195138693,9.294948924,15.063350426,8.7078370412,14.651027577,15.9955586062,5.3954859289,0.7660596762,0.9613194977,3.6882141559
